,title,runtime,mpaa_rating,theatrical_release,director,actor,plot
0,127 Hours,94,R,2010-11-05,Danny Boyle,"James Franco, Amber Tamblyn, Kate Mara, Kate Burton, Lizzy Caplan","An adventurous mountain climber becomes trapped under a boulder while canyoneering alone near Moab, Utah and resorts to desperate measures in order to survive."
1,8: The Mormon Proposition,78,R,2010-06-18,"Reed Cowan, Steven Greenstreet","Dustin Lance Black, Gavin Newsom, Hal Sparks, Tyler Barrick, Kate Kendell","In 2009, thousands of LGBT citizens are denied almost 200 civil rights their straight, married counterparts enjoy through civil marriage. Some states have signaled progress. But amid the progress, The Mormon Church, with its front-group THE NATIONAL ORGANIZATION FOR MARRIAGE, has been coordinating, financing and leading the effort to stop the advancement of marriage equality for more than three decades. As an organization worth hundreds of billions of dollars, the Mormon Church has been able to wage this war in secret. Not until the California Fair Political Practices Commission launched an investigation into the Mormon's involvement in Proposition 8, did the secrets of the Mormon effort become a matter of record. Through never-before seen documents, recordings & insider-interviews, 8: THE MORMON PROPOSITION, exposes the efforts of the Mormon Church and its members to halt nearly every piece of LGBT legislation on the desks of lawmakers from Hawaii to New York. 8: THE MORMON PROPOSITION makes these efforts a matter of record and challenges viewers to demand more of government officials in requiring religions more transparency in their efforts to influence public policy. Emmy-award winning journalist and documentary filmmaker Reed Cowan is a former Mormon who served a two-year mission door-to-door for the Mormon Church. His access to high-level Mormons & Mormon communications on the matter, coupled with his OUT status as a gay man and father of two adopted sons has provided a compelling and at times shocking look at the Mormon way of doing business against LGBT people."
2,A Nightmare on Elm Street,96,R,2010-04-30,Samuel Bayer,"Rooney Mara, Kyle Gallner, Thomas Dekker, Jackie Earle Haley, Katie Cassidy","Several people are hunted by a cruel serial killer who kills his victims in their dreams. While the survivors are trying to find the reason for being chosen, the murderer won't lose any chance to kill them as soon as they fall asleep."
3,A Prophet (Un prophete),155,R,2010-02-26,Jacques Audiard,"Tahar Rahim, Niels Arestrup, Adel Bencherif, Reda Kateb, Hichem Yacoubi","Nineteen year-old Franco-Arab Malik El Djebena is just starting his six year prison sentence in Brécourt. Although he has spent the better part of his life in juvenile detention, this stint is his first in an adult prison. Beyond the division of Corsicans and Muslims in the prison (the Corsicans who with their guard connections rule what happens in the prison), he has no known friends or enemies inside. He is just hoping to serve his time in peace and without incident, despite having no prospects once he's out of jail since he's illiterate and has no support outside of the prison. Due to logistics, the head of Corsican inmates, a sadistic mafioso named César Luciani, co-opts Malik as part of the Corsicans' activities, not only regarding what happens inside the prison, but also continued criminal activities outside. The innocent Malik has no idea what to do but cooperate. This move does not sit well with the other Corsicans, who only see Malik as a dirty Arab, and the Muslims who now"
4,Alice in Wonderland,108,PG,2010-03-05,Tim Burton,"Johnny Depp, Mia Wasikowska, Helena Bonham Carter, Anne Hathaway, Matt Lucas","Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called ""Underland,"" she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason--to conquer the horrific Jabberwocky and restore the rightful queen to her throne."
5,Animal Kingdom,112,R,2010-08-13,David Michod,"Ben Mendelsohn, Joel Edgerton, Guy Pearce, Luke Ford, Jacki Weaver","Despite being no saint herself, Julia Cody has shielded her seventeen year old son, Joshua ""J"" Cody, from her Melbourne-based criminal relatives who they have not seen in years. After Julia dies in front of J's eyes from a self-inflicted heroin overdose, J, who is slightly detached from life, feels he has no choice but to contact his maternal grandmother, Janine ""Smurf"" Cody, the family matriarch, for a place to live. Smurf rules the family with a borderline incestuous love over her three sons, the quietly menacing Andrew ""Pope"" Cody, the hyperactive Craig Cody, and the barely of age Darren Cody. Pope and his best friend, Barry ""Baz"" Brown, are armed robbers, with Darren their up and coming apprentice, while Craig is a mid level drug dealer. Melbourne's Armed Robbery Squad is after specifically Pope, who is hiding out. But when the standoff between the Codys and the Armed Robbery Squad is brought up a notch, an all out war ensues, with some casualties and J caught in the middle. The only grounding in J's life is his girlfriend, Nicky Henry. With those casualties comes an investigation by Homicide Detective Senior Sergeant Nathan Leckie, who knows the Codys are involved in some of those deaths. As Leckie tries to get J on his side, J has to figure out how best to get himself out from the middle, where he trusts neither side. J also wants to figure out how to exact what he considers justice in an all around bad situation."
6,Another Year,129,PG-13,2010-12-29,Mike Leigh,"Jim Broadbent, Ruth Sheen, Lesley Manville, Oliver Maltman, Peter Wight","A married couple who have managed to remain blissfully happy into their autumn years, are surrounded over the course of the four seasons of one average year by friends, colleagues, and family who all seem to suffer some degree of unhappiness."
7,The Last Airbender,103,PG,2010-07-01,M. Night Shyamalan,"Noah Ringer, Dev Patel, Nicola Peltz, Jackson Rathbone, Jessica Jade Andres","Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom."
8,Biutiful,148,R,2010-12-29,Alejandro Gonzalez Inarritu,"Javier Bardem, Maricel Alvarez, Eduard Fernandez, Diaryatou Daff, Luo Jin","This is the story of Uxbal, a man living in this world, but able to see his death, which guides his every move."
9,Black Swan,108,R,2010-12-03,Darren Aronofsky,"Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey, Winona Ryder","A committed dancer wins the lead role in a production of Tchaikovsky's ""Swan Lake"" only to find herself struggling to maintain her sanity."
10,Blue Valentine,114,R,2010-12-29,"Andrij Parekh, Derek Cianfrance","Ryan Gosling, Michelle Williams, Faith Wladyka, John Doman, Mike Vogel","Dean Pereira and Cindy Heller Pereira are a young, working class married couple - Dean currently working as a painter, and Cindy working as a nurse in a medical clinic - with a young daughter named Frankie. Despite their relatively tender ages, they are both ravaged by the life they've eked out together and by the experiences they've had leading into their marriage. Dean, a high school drop out, comes from a broken home, where he never really had a mother figure. He never saw himself getting married or having a family despite falling in love at first sight with Cindy. He doesn't have any professional ambition beyond his current work - which he enjoys since he feels he can knock off a beer at 8 o'clock in the morning without it affecting his work - although Cindy believes he has so much more potential in life. Cindy also comes from a dysfunctional family, with her own mother and father not setting an example of a harmonious married or family life. One of her previous serious relationships was with Bobby Ontario, that relationship which has a profound affect on many aspects of her marriage to Dean. Dean and Cindy head off on an overnight getaway together without Frankie, the getaway which may provide a clearer picture if their marriage can survive its many issues."
